latitude,longitude
40.709901,-73.79432
40.7245394,-73.9822911
40.864668,-73.8924023
40.6569712,-73.888674
40.8606919,-73.9091761
40.8505277,-73.9003313
40.5753128,-73.969084
40.6304677,-74.1606914
40.9079538,-73.8246294
40.9260675,-73.8805385
40.6790399,-73.8054241
40.8079247,-73.9225993
40.8111657,-73.8932478
40.6777246,-73.9344533
40.619914,-74.01142
40.7197493,-73.9393993
40.718402,-73.9567129
40.8253532,-73.8558214
40.83295,-73.866547
40.6673224,-73.9059041
40.8452507,-73.8345507
